Radius;Image82;Image83;Image84;Image85;Image86;Image87;Image88;Image89;Image90;Image91;Image92;Image93;Image94;Image95;Image96;Image97;Image98;Image99;Image100;Image101
106;0;2;2;0;0;0;0;1;0;2;0;0;1;0;0;0;1;0;6;0
107;0;0;1;0;0;0;0;4;0;1;0;0;1;0;0;0;1;0;5;0
108;0;0;1;0;0;0;0;4;0;1;0;0;1;0;0;0;1;0;3;0
109;0;0;1;0;0;0;0;3;0;1;0;0;1;0;0;0;1;0;4;0
110;0;0;1;1;0;0;0;3;0;1;0;0;1;0;0;0;1;0;3;0
111;0;0;1;0;0;0;0;2;0;1;0;0;1;0;0;0;1;0;4;0
112;0;0;1;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;3;0
113;0;0;1;0;0;0;0;5;0;2;0;0;1;0;0;0;0;0;4;0
114;0;0;1;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;5;0
115;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;6;0
116;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0
117;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;3;0
118;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;5;0
119;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;4;0
120;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0
121;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;1;0
122;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0
123;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0
124;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
125;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
126;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
127;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
128;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
129;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
130;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
131;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
132;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
