Radius;Image62;Image63;Image64;Image65;Image66;Image67;Image68;Image69;Image70;Image71;Image72;Image73;Image74;Image75;Image76;Image77;Image78;Image79;Image80;Image81
113;0;0;0;0;0;0;1;0;4;0;0;2;0;0;0;0;0;1;0;0
114;0;0;0;0;0;0;4;0;5;0;0;2;0;0;0;0;0;2;0;0
115;0;0;0;0;0;1;2;0;2;0;0;2;0;0;0;0;0;2;0;0
116;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;1;0;0
117;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0
118;0;0;0;0;0;1;2;0;2;0;0;3;0;0;0;0;0;2;0;0
119;0;0;0;0;0;0;2;0;3;0;0;2;0;0;0;0;0;1;0;0
120;0;0;0;0;0;0;2;0;2;0;0;5;0;0;0;0;0;1;0;0
121;0;0;0;0;0;0;1;0;3;0;0;3;0;0;0;0;0;2;0;0
122;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;1;0;0
123;0;0;0;0;0;0;3;0;3;0;0;2;0;0;0;0;0;2;0;0
124;0;0;0;0;0;0;3;0;5;0;0;2;0;0;0;0;0;1;0;0
125;0;0;0;0;0;0;5;0;5;0;0;2;0;0;0;0;0;1;0;0
126;0;0;0;0;0;0;4;0;3;0;0;2;0;0;0;0;0;2;0;0
127;0;0;0;0;0;0;7;0;3;0;0;3;0;0;0;0;0;1;0;0
128;0;0;0;0;0;0;7;0;2;0;0;4;0;0;0;0;0;1;0;0
129;0;0;0;0;0;0;3;0;4;0;0;6;0;0;0;0;0;2;0;0
130;0;0;0;0;0;0;2;0;2;0;0;4;0;0;1;0;0;1;0;0
131;0;0;0;0;0;0;1;0;1;0;0;7;0;0;0;0;0;2;0;0
132;0;0;0;0;0;0;1;0;1;0;0;5;0;0;0;0;0;4;0;0
133;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;3;0;0
134;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0;1;0;0
