Radius;Image1;Image2;Image3;Image4; Image5;Image6;Image7;Image8;Image9;Image 10;Image11;Image12;Image13;Image14;Image15;Image16;Image17;Image18;Image19;Image20;Image21
35;10;4;8;9;15;12;1;10;3;6;14;7;11;15;13;14;8;12;3;9;3
36;8;3;7;7;14;15;1;10;3;4;11;5;13;10;14;13;12;15;5;6;2
37;7;4;5;6;13;17;2;10;3;3;10;6;15;9;11;13;6;14;3;7;4
38;7;4;6;10;11;21;1;13;4;4;12;6;12;8;14;12;8;14;2;9;4
39;8;3;2;9;13;18;2;14;3;5;11;5;12;6;17;12;10;17;3;6;3
40;7;5;4;6;8;17;2;16;3;3;13;5;16;5;20;11;7;21;2;5;6
41;7;4;2;7;11;21;1;11;3;2;18;4;21;4;18;10;8;16;0;4;2
42;7;4;1;7;12;18;1;16;4;2;12;4;17;5;25;13;5;12;0;4;2
43;6;6;2;10;11;20;1;14;3;2;15;5;13;11;18;8;4;16;0;3;3
44;5;5;1;10;11;24;1;12;5;2;16;5;11;8;25;7;7;8;0;4;5
45;6;5;1;8;14;22;1;14;3;2;17;4;9;5;29;5;9;8;0;4;4
46;6;4;2;9;15;27;1;11;5;2;12;5;9;7;24;4;11;15;0;5;4
47;6;7;2;11;9;22;1;11;3;2;13;6;12;6;21;3;12;10;0;5;2
48;8;7;2;7;8;23;1;14;4;2;11;5;18;7;20;4;8;12;0;2;2
49;8;9;2;8;10;19;1;10;8;2;13;6;12;5;19;2;6;8;0;2;3
50;7;13;2;6;10;17;1;11;3;3;12;5;16;5;16;4;5;6;0;2;2
51;7;13;2;5;7;22;1;11;4;2;10;5;15;9;18;3;6;7;0;2;2
52;6;8;2;5;6;16;1;13;4;2;10;6;15;6;17;4;5;3;0;2;2
53;5;9;1;6;4;18;1;11;6;2;8;5;16;6;22;3;5;7;0;2;2
54;7;9;1;7;4;17;1;9;6;4;8;5;13;6;15;3;6;7;0;2;4
55;4;6;1;4;5;18;1;12;4;3;8;4;11;7;15;2;7;10;0;2;2
56;2;5;1;5;4;16;1;11;5;5;6;4;9;8;17;3;3;11;0;3;3
57;5;4;1;3;4;19;1;11;8;4;5;5;8;4;11;3;2;5;0;2;3
58;2;3;1;6;7;17;1;11;6;2;5;4;9;3;10;5;0;6;0;1;2
59;3;4;1;7;8;19;1;16;3;2;6;4;9;3;17;5;0;6;0;0;2
60;4;3;2;9;8;19;1;13;1;3;6;3;7;2;15;4;0;4;0;0;2
61;3;4;1;7;5;15;1;11;1;2;5;4;5;2;10;5;0;0;0;0;1
62;6;4;1;5;6;11;1;9;1;2;4;4;3;3;14;6;0;0;0;0;1
63;6;3;2;6;8;12;2;15;1;3;2;4;1;4;13;6;0;0;0;0;1
64;5;3;1;3;5;7;1;11;1;3;2;3;3;3;15;5;0;0;0;0;1
65;4;3;2;6;4;2;1;12;1;2;2;4;2;3;17;7;0;0;0;0;1
66;3;2;0;7;1;1;1;11;1;2;3;6;2;1;10;5;0;0;0;0;1
67;3;2;0;8;1;1;2;10;1;2;3;5;2;1;10;5;0;0;0;0;2
68;5;2;0;4;1;1;1;7;2;3;2;6;1;1;9;3;0;0;0;0;1
69;1;2;0;3;2;1;1;8;2;2;1;3;1;2;7;5;0;0;0;0;1
70;3;3;0;4;2;0;1;7;3;1;2;5;3;3;8;4;0;0;0;0;2
71;2;4;0;2;2;0;1;10;3;1;2;3;0;1;5;2;0;0;0;0;2
72;4;3;0;2;2;0;2;6;2;1;3;3;0;1;8;1;0;0;0;1;1
